,bara / bada
1895,mera lungi me havas ki aag lagi hai
1896,mera muhme le
1897,mera mume le
1898,mere chuus maro
1899,mere fudi kha ley
1900,mere pass nile rang ke gend hai
1901,meri gand ka baal
1902,meri gand ka khatmal
1903,meri ghand ka baal
1904,meri lund choos
1905,meri lundh choos
1906,mome ka pasina chat
1907,moo may lay mera
1909,mooth marna
1910,mootna
1911,mu c waale
1912,mujhe aap ki chut chahiye
1913,mujhe aap ko chodna hai
1914,mujhe aap ko thokna hai
1915,mujhe chodne ki bhukh hai
1916,mujhe chut chahiye
1917,mujhe chut marni hai
1918,mujhe ko chodna hai
1919,mujhe tumhe chodna
1920,mujhe tumhe thokna
1921,mujhe usko chodna hai
1926,mutth marna
1928,na choot na chooche nakhre noor jahan ke
1929,naali ka keeda
1933,paagalchoda
1936,phuddi
1937,pig ki tatti
1938,pille
1940,raand codha
1943,raand whore
1948,rand ki moot
1949,randawa
1952,randi baj
1953,randi chod
1954,randi ka bachcha
1955,randi ka choda
1956,randi ka larka
1957,randi ke baal
1958,randi ke bacche
1959,randi ke beej
1960,randi ke dalal
1961,randi ke jhaant ke toote hue baal
1962,randi ki aulaad
1963,randi ki aulad
1964,randi ki chut
1965,randuaa
1973,rundi ke tatti pe biathne wala makhi
1976,rundi ki tatti pe baithne waali makkhi
1977,rundi ki tatti pe baithnewaali makkhi
1978,rundi ko chod
1979,rundi ko choud
1982,saala betichod
1984,saale
1986,sab ka lund teri ma ki chut mein
1988,sadi hui gand
1989,sala
1990,sala kuttaa
1994,sardar fuda singh
1997,shali
1998,sooar
2000,soower ki bachi
2002,suar ki tatti
2003,sust lund ki padaish
2004,suvar chod
2005,suwar ki aulad
2011,suyar ke baacho
2013,tatti tatte masalna
2014,tei maa ki gaand me bhi
2015,tera baap ki chut aur maa ke laude
2016,tere adha nirodh mein rah gaya
2017,tere baap ki chut mai teri maa ka land
2018,tere baap ki gaand teri chute mai chuglee
2019,tere gaand mein keede paday
2020,tere maa ka bur
2021,tere maa ko sau kutte chode sau wa tera baap!
2022,tere maa ko sau kutte chode – sau wa tera baap
2023,tere mai ki chut baap teri maa ka land
2024,terey baad di gaand wich danda ghussa ker rakh dhungi
2025,terey baad di gaand wich dhanda gussa ker rakdhungi
2026,teri behen ka bhosda faadu
2027,teri behen ka lauda rubber ka
2028,teri behen ka launda rubber ka
2029,teri behen ka lavda rubber ka
2030,teri bhen ki gaand me ungli karunga
2031,teri bhosri mein aag
2032,teri biwiko teri saamne chodhunga
2033,teri biwiko theri saamne chodhunga
2034,teri gaand main kute ka lund
2035,teri gaand me danda
2036,teri gaand mein haathi ka lund
2037,teri gand mai ghadhe ka lund
2038,teri gand mein haathi ka lund
2039,teri jhanten kaat kar tere mooh par laga kar unki french beard bana doonga
2040,teri ma chadha ka lund choos
2041,teri ma gadha ka lund choos
2042,teri ma gandi rundi
2043,teri ma ki budh mein chaarpai bichhake teri bahen ko chodun
2044,teri ma ki bund mein chaarpai bichhake teri bhen ko chodun
2045,teri ma ki choot me hathi ka dum
2046,teri ma ki chut mai sabka lund
2047,teri ma ko kutta chode
2048,teri maa ka
2049,teri maa ka bhosda
2050,teri maa ka bhosra
2052,teri maa ke bable
2053,teri maa ke bhosade ke baal
2054,teri maa ke bobe kha jaunga bhosdi ke
2055,teri maa ki bimaar badboodar choot
2056,teri maa ki choot
2057,teri maa ki choot me hathi ka dum
2058,teri maa ki choot me kutte ka lavda
2060,teri maa ki chut mai sabka lund
2061,teri maa ki chut mein chatri leke ghus jaunga aur khol dunga
2062,teri maa ki chute
2063,teri maa ki gaand ki baal mein jalaay hue
2064,teri maa ki gaand ki baal mein jalaay hue maarey hue chupkili ki unday
2065,teri maa ki maari choot
2066,teri maa ki phudi guy ki hai
2067,teri maa ki sukhi bhos
2068,teri maa ko chodun
2069,teri mi di kussi mey tera sarra khandan ko ggussa ker rakhdoungi
2070,teri mi di kussi mey tera sarra khandan ko ghussa ker rakh doonga
2071,teri phuphi ki choot mein
2073,theri biwi ko tere saamne chodhunga
2076,tu tera maa ka lauda
2077,tum chutiya ho
2078,ulloo choda
2082,aaand 
2085,balatkar
2088,bhadva
2089,bhadve
2090,bhandve
2091,bhootni ke
2095,boobe
2096,chakke
2098,chinki
2105,choot ke baal
2108,chuche
2110,chudai khanaa
2130,hagga
2181,madrchod
2182,bhnchod
2183,aaand mat kaha 
2184,aand mat kaha 
2185,aandal 
2186,aandu 
2187,aandupana 
2188,abla naari tera buble bhaari 
2189,amma ki chut 
2190,andh 
2191,apna land choos 
2192,apna lund choos 
2193,apna ma ko ja choos 
2194,apni gaand mein muthi daal 
2195,apni land choos 
2196,apni lund choos 
2197,apni ma ko ja choos 
2198,asal ka chuda 
2199,baap ke lavde 
2200,backar chodu 
2201,backarchodu 
2202,back chod 
2203,backchod 
2204,badeer 
2205,badir 
2206,badirchand 
2207,bahen chod 
2208,bahen ka loda 
2209,bahen ke laude 
2210,bahen ke takke 
2211,bahenchod 
2212,bahinchod 
2213,bahu chod 
2214,bakchod 
2215,bakchod billi 
2216,bakland 
2217,baklol 
2218,baklund 
2219,bakri chod 
2220,bakrichod 
2221,behen chod 
2222,behen ka laura 
2223,behen ke land 
2224,behen ke laude 
2225,behen ke lawde 
2226,behen ke lund 
2227,behen ke take 
2228,behenchod 
2229,behenkelaude 
2230,behnchod 
2231,benchod 
2232,beti chod 
2233,betichod 
2234,bhaand me jaao 
2235,bhadhava 
2236,bhadva chodika 
2237,bhadwa 
2238,bhadwe 
2239,bhadwe ka awlat 
2240,bhadwe ki nasal 
2241,bhag bhosdike 
2242,bhai chhod bhayee chod 
2243,bhai chod 
2244,bhainchod 
2245,bhais ke lund 
2246,bhandava 
2247,bhen chod 
2248,bhen ke laude 
2249,bhen ke lode 
2250,bhen ke lode maa chuda 
2251,bhen ke takke 
2252,bhen ki choot 
2253,bhencho 
2254,bhenchod 
2255,bhodhsike 
2256,bhonsriwaalaa 
2257,bhootnee ka 
2258,bhootnik 
2259,bhosad chod 
2260,bhosad raand 
2261,bhosadchod 
2262,bhosadi k 
2263,bhosadi ke 
2264,bhosadike 
2265,bhosadiwala 
2266,bhosda 
2267,bhosdaa 
2268,bhosdee kay 
2269,bhosdi 
2270,bhosdi k 
2271,bhosdi ka 
2272,bhosdi kalam 
2273,bhosdi ke 
2274,bhosdi wala 
2275,bhosdi wale 
2276,bhosdik 
2277,bhosdika 
2278,bhosdike 
2279,bhosdivaale 
2280,bhosdiwala 
2281,bhosdiwale 
2282,bhundi 
2283,bokachoda 
2284,bol teri gand kaise maru 
2285,booblay 
2286,boor 
2287,bsdk 
2288,buddha khoosat 
2289,buhtahnee ka 
2290,bulle ke baal 
2291,bumchod 
2292,bund 
2293,bund maraa le 
2294,bur 
2295,bur ka choda 
2296,bur ki chatani 
2297,burr 
2298,burr ke baal 
2299,bursungha 
2300,camina 
2301,cha cha chod 
2302,chachunder ki aulad 
2303,chhola phudakna 
2304,chhut ka baal 
2305,chinaal 
2306,chinaal ke gadde ke nipple ke baal ke joon 
2307,chinal 
2308,chipkai ki choot ke paseene 
2309,chipkali ke chut ke pasine 
2310,chipkali ke gaand ke pasine 
2311,chipkali ke jhaat ke baal 
2312,chipkali ke jhaat ke paseene 
2313,chipkali ki bhigi chut 
2314,chippkali ke jhaant ke paseene 
2315,chod ke bal ka kida 
2316,chodela 
2317,chodu bhagat 
2318,chooche 
2319,choochi 
2320,choochii 
2321,chood 
2322,choodasi 
2323,choodpagal 
2324,choohe ki moot 
2325,choot k bhoot 
2326,choot k pakode 
2327,choot ka baal 
2328,choot ka paani 
2329,choot ka pissu 
2330,choot ke bhoot 
2331,choot ke bhoot vaginal ghost 
2332,choot ki jhilli 
2333,choot marani ka 
2334,chootad 
2335,chootadchod 
2336,chootia 
2337,chootiya 
2338,chootiyapanti 
2339,chopre he randi 
2340,chudaai 
2341,chudaai khaana 
2342,chudaai khaani 
2343,chudai khana 
2344,chudail 
2345,chudan chudai 
2346,chudase 
2347,chudasi 
2348,chude 
2349,chudi 
2350,chudpagal 
2351,chudwana 
2352,chull uthna 
2353,chullu bhar muth mein doob mar 
2354,chup ke chut hai 
2355,chusnawala 
2356,chusnawali 
2357,chut 
2358,chut k dher 
2359,chut ka bhoot 
2360,chut ka maindak 
2361,chut ka nai 
2362,chut ka pujari 
2363,chut karo 
2364,chut ke baal 
2365,chut ke dhakkan 
2366,chut ke gulam 
2367,chut ke makkhan 
2368,chut ke pakode 
2369,chut ke pasine mein talay huye bhajiye 
2370,chut khujaane vaali 
2371,chut ki andhi 
2372,chut ki pyasi 
2373,chut mari ke 
2374,chut marike 
2375,chut se latka hua laude ka moot 
2376,chutan 
2377,chute 
2378,chutia 
2379,chutiya 
2380,chutiya chootia 
2381,chutiya ka bheja ghas khane gaya hai 
2382,chutiyah 
2383,chutiye 
2384,chuttad 
2385,chuttad chod 
2386,cuntmama 
2387,cutlkat lund 
2388,dalli 
2389,dhee chod 
2390,dhee ka lund 
2391,dheela lund 
2392,dheeli choot 
2393,dheli chut 
2394,dogla 
2395,fatay huay lundtopi ka 
2396,fatay huay lundtopi ka result 
2397,fate condom ka natije 
2398,fatey condom kay natije 
2399,fuddi 
2400,fudii k 
2401,gaand 
2402,gaand chaat mera 
2403,gaand gaand 
2404,gaand k baal 
2405,gaand ka baal 
2406,gaand ka khadda 
2407,gaand ka makhan 
2408,gaand ka pilla 
2409,gaand ke dhakan 
2410,gaand ki aulaad 
2411,gaand maar bhen chod 
2412,gaand maarna 
2413,gaand main danda 
2414,gaand main keera 
2415,gaand main lassan 
2416,gaand mara 
2417,gaand marau 
2418,gaand marna 
2419,gaand mein bambu 
2420,gaand mein kida 
2421,gaandfat 
2422,gaandkate kutte 
2423,gaandmasti 
2424,gaandu 
2425,gadha 
2426,gand mein danda 
2427,gand mein louda 
2428,gandi chut mein sadta hua ganda kida 
2429,gandi fuddi ki gandi auladd 
2430,gandkate kutte 
2431,gandmare 
2432,gandmasti 
2433,gandu 
2434,gandu saala 
2435,gandue 
2436,gashti 
2437,gastee 
2438,gasti 
2439,ghassad 
2440,ghasti 
2441,ghelchodia 
2442,ghondoo 
2443,gote 
2444,gote kitne bhi bade ho lund ke niche hi rehte hai 
2445,goti muh mein hai 
2446,gundmaraa 
2447,gundmari 
2448,hamari le rahe hai 
2449,haraam ka chuda 
2450,haraam ki chudi 
2451,haraam zaada 
2452,haraami 
2453,haraamjaada 
2454,haraamjaadi 
2455,haraamkhor 
2456,haram zaadaa 
2457,harami 
2458,harami ke pille 
2459,haramkhor 
2460,haramzaada 
2461,haramzade 
2462,harazyaada 
2463,havas 
2464,hazaar lund teri gaand main 
2465,hijdaa 
2466,hijde 
2467,hijra 
2468,hrami 
2469,hugna 
2470,hugnaa 
2471,jab tu paida hua tho aagey se ya peechey se nikla tha chutiya 
2472,jab tu paida hua tow aagey se ya peechey se nikla tha chutiya 
2473,janam jala 
2474,janam jali 
2475,januwar 
2476,janwar 
2477,jhaant 
2478,jhaant ka baal 
2479,jhaant ke jhature 
2480,jhaant ke pissu 
2481,jhaant ukhaadna 
2482,jhaat 
2483,jhaat chaatu 
2484,jhaat ka bhaaji 
2485,jhaat ke baal 
2486,jhaatoon saala 
2487,jhaatu 
2488,jhandu 
2489,jhant chaatu 
2490,jhant ke baal 
2491,jhat ke baal 
2492,jhat lahergaya 
2493,jhatoo 
2494,jhund 
2495,joo ke hagge 
2496,kaala lund 
2497,kaali kutti 
2498,kadak maal 
2499,kahe ko kha raha hai chut ki chapati aur lund ka beja? 
2500,kali choot ke safaid jhaat 
2501,kali chut ka safaid jhaat 
2502,kamina 
2503,kamine 
2504,kaminee 
2505,kaminey 
2506,katla 
2507,khade lund pe dhoka 
2508,khasmanu khaani 
2509,khota 
2510,khotey ki aulad 
2511,khotey ki aulda 
2512,khujju 
2513,klpd 
2514,kukarchod 
2515,kutchudi 
2516,kutha 
2517,kutha sala 
2518,kuthi 
2519,kuthri 
2520,kuthta buraanahe kandaa nahi pattaahe 
2521,kutiya 
2522,kutiya ke pilley 
2523,kutiyaa 
2524,kutta 
2525,kutte 
2526,kutte ka aulad 
2527,kutte ka awlat 
2528,kutte ka bachha 
2529,kutte ka beej 
2530,kutte ka lund 
2531,kutte ke aulaad 
2532,kutte ke pilley 
2533,kutte ke poot 
2534,kutte ke tatte 
2535,kutte ki aulad 
2536,kutte ki jat 
2537,kutte ki olad 
2538,kutti 
2539,kuttiya 
2540,kya kadak hai ye 
2541,kya maal hai ye 
2542,ladkichod 
2543,land ka bheja 
2544,landait 
2545,landue 
2546,landure 
2547,lauda 
2548,laudap 
2549,laude 
2550,laude ke baal 
2551,laude sale 
2552,lavda 
2553,lavde 
2554,lavde ka baal 
2555,lavde ke baal 
2556,lavde ke bal 
2557,lawda 
2558,lawde 
2559,lo mera lund anpi behen ko de do agar khud na chod paya 
2560,lo mera lund apni behen ko de do agar khud na chod paya 
2561,loda 
2562,lode jesi shakal ke 
2563,lode ke baal 
2564,lodey jaise shakal teri 
2565,lodu 
2566,loduu 
2567,londiyachod 
2568,lowde ka bal 
2569,lund 
2570,lund choosu 
2571,lund chus 
2572,lund chuse 
2573,lund fakeer 
2574,lund fakir 
2575,lund fekh ke maroonga toh tera poora khandan chud jayega chutmarike 
2576,lund k laddu 
2577,lund ka baal 
2578,lund ka bheja 
2579,lund ka shorba 
2580,lund ke pasine 
2581,lund khajoor 
2582,lund luhnd 
2583,lund mera muh tera 
2584,lund pe chad ja 
2585,lund pe thand hai 
2586,lund phek ke marenge khandan chud jayega 
2587,lundfakir 
2588,lundoos 
2589,ma chudi 
2590,maa chudaa 
2591,maa ka lauda 
2592,maa ke bable 
2593,maa ke bhadve 
2594,maa ke bhadwe 
2595,maa ke laude 
2596,maa ki aankh 
2597,maa ki choot 
2598,maa ki chut 
2599,maacho 
2600,maachod 
2601,maachodh 
2602,maadar chowd 
2603,maadarchod 
2604,maadher chod 
2605,maakelaude 
2606,maal 
2607,maal chhodna 
2608,maarey hue chipkili ki unday 
2609,machod 
2610,machodh 
2611,madar chod 
2612,madar jaat 
2613,madarchod 
2614,madarchod ke aulaad 
2615,madarchodh 
2616,madarjat 
2617,mader chod 
2618,madharchod 
2619,maha gaandu 
2620,mahder chod 
2621,mahderchod 
2622,mai chod 
2623,maichod 
2624,mamme 
2625,mammey mummaye 
2626,mangachinamun 
2627,mast maal 
2628,mc 
2629,mein teri maa ko liya tha uski suhaag raat pei 
2630,mein teri maa ko teri bahen ki choot mein chodoonga aur tera baap laltern lekar aayega 
2631,mein teri maa ko teri bhen ki choot mein chodoonga aur tera baap laltern lekar aayega 
2632,mera chunni choos 
2633,mera ganna mere dil se bada hai 
2634,mera gota moo may lay 
2635,mera lund choos 
2636,mera lungi me havas ki aag lagi hai 
2637,mera muhme le 
2638,mera mume le 
2639,mere chuus maro 
2640,mere fudi kha ley 
2641,mere pass nile rang ke gend hai 
2642,meri gand ka baal 
2643,meri gand ka khatmal 
2644,meri ghand ka baal 
2645,meri lund choos 
2646,meri lundh choos 
2647,mome ka pasina chat 
2648,moo may lay mera 
2649,moot 
2650,mooth marna 
2651,mootna 
2652,mu c waale 
2653,mujhe aap ki chut chahiye 
2654,mujhe aap ko chodna hai 
2655,mujhe aap ko thokna hai 
2656,mujhe chodne ki bhukh hai 
2657,mujhe chut chahiye 
2658,mujhe chut marni hai 
2659,mujhe ko chodna hai 
2660,mujhe tumhe chodna 
2661,mujhe tumhe thokna 
2662,mujhe usko chodna hai 
2663,mutar 
2664,muth maar 
2665,muth mar 
2666,muth marna 
2667,mutth marna 
2668,mutthal 
2669,na choot na chooche nakhre noor jahan ke 
2670,naali ka keeda 
2671,najayaz 
2672,najayaz paidaish 
2673,paagal choda 
2674,paagalchoda 
2675,parichod 
2676,phatele nirodh ke natije 
2677,phuddi 
2678,pig ki tatti 
2679,pille 
2680,raand 
2681,raand codha 
2682,raand ka jamai 
2683,raand ka pati 
2684,raand whore 
2685,raandi baajer 
2686,rakhail 
2687,rand 
2688,rand chod 
2689,rand ki moot 
2690,randawa 
2691,randhwa 
2692,randi 
2693,randi baj 
2694,randi chod 
2695,randi ka bachcha 
2696,randi ka choda 
2697,randi ka larka 
2698,randi ke baal 
2699,randi ke bacche 
2700,randi ke beej 
2701,randi ke dalal 
2702,randi ke jhaant ke toote hue baal 
2703,randi ki aulaad 
2704,randi ki aulad 
2705,randi ki chut 
2706,randuaa 
2707,randwa 
2708,randwe 
2709,rubber bhosda 
2710,rundee 
2711,rundi 
2712,rundi apni chut leka ana 
2713,rundi ka bacha 
2714,rundi ke tatti pe biathne wala makhi 
2715,rundi khana 
2716,rundi ki bachi 
2717,rundi ki tatti pe baithne waali makkhi 
2718,rundi ki tatti pe baithnewaali makkhi 
2719,rundi ko chod 
2720,rundi ko choud 
2721,rundi ko chowd 
2722,saala 
2723,saala betichod 
2724,saala kutta 
2725,saale 
2726,saali kutti 
2727,sab ka lund teri ma ki chut mein 
2728,sadi hui gaand 
2729,sadi hui gand 
2730,sala 
2731,sala kuttaa 
2732,sale 
2733,sali kuta 
2734,sali kutti 
2735,sardar fuda singh 
2736,seal bund 
2737,sewwer ki bachi 
2738,sooar 
2739,soover 
2740,soower ki bachi 
2741,suar 
2742,suar ki tatti 
2743,sust lund ki padaish 
2744,suvar chod 
2745,suwar ki aulad 
2746,suwwar 
2747,suwwar ka bachcha 
2748,suwwar ke lund 
2749,suwwar ki bachchi 
2750,suwwariya 
2751,suyar ke baacho 
2752,tatte masalna 
2753,tatti tatte masalna 
2754,tei maa ki gaand me bhi 
2755,tera baap ki chut aur maa ke laude 
2756,tere adha nirodh mein rah gaya 
2757,tere baap ki chut mai teri maa ka land 
2758,tere baap ki gaand teri chute mai chuglee 
2759,tere gaand mein keede paday 
2760,tere maa ka bur 
2761,tere maa ko sau kutte chode sau wa tera baap! 
2762,tere maa ko sau kutte chode ñ sau wa tera baap 
2763,tere mai ki chut baap teri maa ka land 
2764,terey baad di gaand wich danda ghussa ker rakh dhungi 
2765,terey baad di gaand wich dhanda gussa ker rakdhungi 
2766,teri behen ka bhosda faadu 
2767,teri behen ka lauda rubber ka 
2768,teri behen ka launda rubber ka 
2769,teri behen ka lavda rubber ka 
2770,teri bhen ki gaand me ungli karunga 
2771,teri bhosri mein aag 
2772,teri biwiko teri saamne chodhunga 
2773,teri biwiko theri saamne chodhunga 
2774,teri gaand main kute ka lund 
2775,teri gaand me danda 
2776,teri gaand mein haathi ka lund 
2777,teri gand mai ghadhe ka lund 
2778,teri gand mein haathi ka lund 
2779,teri jhanten kaat kar tere mooh par laga kar unki french beard bana doonga 
2780,teri ma chadha ka lund choos 
2781,teri ma gadha ka lund choos 
2782,teri ma gandi rundi 
2783,teri ma ki budh mein chaarpai bichhake teri bahen ko chodun 
2784,teri ma ki bund mein chaarpai bichhake teri bhen ko chodun 
2785,teri ma ki choot me hathi ka dum 
2786,teri ma ki chut mai sabka lund 
2787,teri ma ko kutta chode 
2788,teri maa ka 
2789,teri maa ka bhosda 
2790,teri maa ka bhosra 
2791,teri maa ka boba chusu 
2792,teri maa ke bable 
2793,teri maa ke bhosade ke baal 
2794,teri maa ke bobe kha jaunga bhosdi ke 
2795,teri maa ki bimaar badboodar choot 
2796,teri maa ki choot 
2797,teri maa ki choot me hathi ka dum 
2798,teri maa ki choot me kutte ka lavda 
2799,teri maa ki chut 
2800,teri maa ki chut mai sabka lund 
2801,teri maa ki chut mein chatri leke ghus jaunga aur khol dunga 
2802,teri maa ki chute 
2803,teri maa ki gaand ki baal mein jalaay hue 
2804,teri maa ki gaand ki baal mein jalaay hue maarey hue chupkili ki unday 
2805,teri maa ki maari choot 
2806,teri maa ki phudi guy ki hai 
2807,teri maa ki sukhi bhos 
2808,teri maa ko chodun 
2809,teri mi di kussi mey tera sarra khandan ko ggussa ker rakhdoungi 
2810,teri mi di kussi mey tera sarra khandan ko ghussa ker rakh doonga 
2811,teri phuphi ki choot mein 
2812,tharki 
2813,theri biwi ko tere saamne chodhunga 
2814,toota hua lund 
2815,tor mai ke chodho 
2816,tu tera maa ka lauda 
2817,tum chutiya ho 
2818,ulloo choda 
2819,ulloo ka patthaa 
2821,Bewarsi
2822,Mukli muchkondu kutko
2823,Mukli tuth
2824,Rande
2825,Randi magane
2826,Saak thika muchappa
2827,shraddha
2828,Soole Maga
2829,Tulla
2830,Aab
2831,baaz akh de
2832,babba aasus manz choosni
2833,babbe kache chatai
2834,bablyaath
2835,be lakhay beni
2836,beni gooud
2837,Beni lakhai
2838,beyani goood
2839,bh lakhai che
2840,Brahman chaenk
2841,Chaaan
2842,chakij
2843,chakjeh goud
2844,Chapin
2845,che chui mazze lakhnas
2846,Choti travi marchevangan
2847,Chotul
2848,chwath
2849,Dagaddalli maa de bacheio
2850,Dawa woal
2851,diyanawaan
2852,duniyah che khap
2853,Fhalaan
2854,fis
2855,Gaan
2856,gaani bach
2857,Gees
2858,ghain
2859,Gooid prah
2860,Goudi Sawaer
2861,guude
2862,Ha kole madarchoda
2863,Hahra
2864,haramuk
2865,Hasna
2866,Haspataal
2867,houn goudiuk
2868,kani jung
2869,Khade daez
2870,khape chraethe
2871,khapkhap
2872,Kucher
2873,laith
2874,langan dimay darith
2875,lazmai bene
2876,lazmai goudis
2877,Lazmaiye Mael Sinze Kori
2878,Lazmayi babbun
2879,lazmie lyath
2880,Lechmayaa benzi
2881,Lezmaye Lyaath
2882,liyath chani goodis
2883,lyaath
2884,lyath kal
2885,lyathee kale
2886,Lyathh
2887,Ma lakh goudis
2888,maaji gooud
2889,maaji lakhai
2890,maeji guudh
2891,maeji lyaath
2892,maelis lakhai
2893,mambre kalle
2894,Meethir
2895,Momri Kalle
2896,MUAMD
2897,Mumer
2898,Mye kya zok kadkhe
2899,Naer
2900,Pael
2901,phutyaa poon
2902,ponas lakhai
2903,ponas manz chu chout kieom
2904,Ponne Tecczh
2905,Poon
2906,poonus lakhai
2907,rath mein lyath
2908,sa here tok mi haijla
2909,Sabzi woal
2910,Seel tuluai
2911,seous good
2912,Siiech
2913,Sous
2914,Taech
2915,tche che baji bab
2916,thapi karani
2917,Watul
2918,Zakal ponz
2919,Zang
2920,Zinhook
2921,zoake goodh
2922,zok
2923,zokke poan
2924,Zokkk
2925,Gandah kullah pudha
2926,Gandhu
2927,Gandhu bastar
2928,Hanzeer da puthar
2929,Jannay na puthar
2930,Kalayah
2931,Khotah
2932,Khotay da puthar
2933,Kuttah
2934,Kuttay na puthar
2935,Kutthi
2936,Lan choop
2937,Lofar
2938,Mammay
2939,May thara pudha marsah
2940,Nikki lan
2941,Pahari ki aulad
2942,Pudhu goray
2943,Randi na puthar
2944,Yadeenah
2945,Aavoi Zovno
2946,Avoichi/Maichi Fudh
2947,baakri
2948,babak zovnya
2949,Babay Aand
2950,bainik zovnya
2951,bewarshi
2952,Bhikarchot
2953,Bhokan bot
2954,Bokan bot
2955,Chedi
2956,Chedye kastachya
2957,Chedyecho
2958,Chont
2959,Chontli
2960,Colwont
2961,daba daba
2962,Fodo
2963,Fodri
2964,Fuddri
2965,Fude
2967,Gadith
2968,ganDi bot gaali
2969,gandi ke bot davari
2970,GanDi votto
2971,Guru
2972,kick your ass
2973,maari
2974,Maichi fud
2975,masti pisso
